name,address,latitude,longitude,rating,borough,shop_id,Unnamed: 0,Code,Area,Value,Code_earnings,Area_earnings,Pay_2021
Past Caring London,"54 Essex Rd, London",51.5377097,-0.0997412,4.6,Islington,552,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
BijouxB Vintage Jewellery - Islington,"1-6 Colinsdale Estate, Camden Walk, London",51.5354176,-0.1031492,3.0,Islington,553,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
D & A Binder - Antique Shop Cabinets & Bespoke Shopfittings for Hire or Purchase,"101 Holloway Rd, London",51.548067,-0.1066036,4.9,Islington,554,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Vintage Luggage,"18 Delancey St, London",51.5368475,-0.1426188,4.2,Camden,555,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Little Paris Store,"39 Park Rd, London",51.580974,-0.125502,4.5,Haringey,556,3838.0,E09000014,Haringey,"487,500",00AP,Haringey,542.6
Episode,"26 Chalk Farm Rd, London",51.542509,-0.146978,0.0,Camden,557,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Koo Style,"Unit 14/8, Camden Stables Market, Chalk Farm Rd, London",51.54197300000001,-0.1477216,4.2,Camden,558,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
CIRCA VINTAGE,"87a Lansdowne Way, London",51.4748348,-0.1286932,4.7,Lambeth,559,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
TTFN Vintage,"106-108 Denmark Hill, London",51.4709291,-0.0930882,5.0,Lambeth,560,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Leona,"Brixton Village, Unit 5 Coldharbour Ln, London",51.4621557,-0.1114804,5.0,Lambeth,561,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Blue Feather,"14 Melbourne Grove, London",51.4604254,-0.0799633,4.9,Southwark,562,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Little Sister,"Market Peckham, 133a Rye Ln, London",51.46982449999999,-0.0680959,5.0,Southwark,563,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Rejuvenate - Something for everyone,"41-42 Coldharbour Ln, London",51.4625934,-0.1116695,0.0,Lambeth,564,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Rye Not Retro,"62 Peckham Rye, London",51.4649691,-0.0666578999999999,4.3,Southwark,565,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Bella West,"Granville Arcade, Unit 76 Coldharbour Ln, London",51.4624417,-0.1118706,3.7,Lambeth,566,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
National Vintage League Ltd.,"Unit 2, Print Village, 58 Chadwick Rd, London",51.4683982,-0.0749778,5.0,Southwark,567,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
My Vintage J Box,"58 Streatham High Rd, London",51.4367663,-0.1280156,5.0,Lambeth,568,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Morbleu,"135 Dulwich Rd, London",51.4526729,-0.1027664,4.4,Lambeth,569,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Windsor Antique Emporium,"405 Lordship Ln, London",51.448623,-0.0735941,5.0,Southwark,570,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
TRAID Peckham,"14-16 Rye Ln, London",51.4726379,-0.0698983,4.2,Southwark,571,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Vintage Chairs,"25 Gubyon Ave, London",51.4554139,-0.102013,0.0,Lambeth,572,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Frost,"144 Bellenden Rd, London",51.4681623,-0.0726333,5.0,Southwark,573,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Traid,"2 Acre Ln, London",51.4612282,-0.1162417,4.1,Lambeth,574,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Loved again Ltd.,"140 Stockwell Rd, London",51.4673937,-0.1182007,5.0,Lambeth,575,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
CIRCA VINTAGE,"87a Lansdowne Way, London",51.4748348,-0.1286932,4.7,Lambeth,576,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
TTFN Vintage,"106-108 Denmark Hill, London",51.4709291,-0.0930882,5.0,Lambeth,577,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Pezze,"vinegar yard, St Thomas St, London",51.5026705,-0.0833746,5.0,Southwark,578,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Leona,"Brixton Village, Unit 5 Coldharbour Ln, London",51.4621557,-0.1114804,5.0,Lambeth,579,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Blue Feather,"14 Melbourne Grove, London",51.4604254,-0.0799633,4.9,Southwark,580,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Little Sister,"Market Peckham, 133a Rye Ln, London",51.46982449999999,-0.0680959,5.0,Southwark,581,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Rejuvenate - Something for everyone,"41-42 Coldharbour Ln, London",51.4625934,-0.1116695,0.0,Lambeth,582,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Rye Not Retro,"62 Peckham Rye, London",51.4649691,-0.0666578999999999,4.3,Southwark,583,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Bella West,"Granville Arcade, Unit 76 Coldharbour Ln, London",51.4624417,-0.1118706,3.7,Lambeth,584,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
National Vintage League Ltd.,"Unit 2, Print Village, 58 Chadwick Rd, London",51.4683982,-0.0749778,5.0,Southwark,585,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
livewithfashion,"Alpha House, 100 Borough High St, London",51.5032218,-0.0919688999999999,0.0,Southwark,586,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Academy Vintage Repro,"229 Waterloo Rd, London",51.4998143,-0.1068619,0.0,Southwark,587,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
